===================================================================================================================================================================================================
Cores                         ;arcade_names_EU                                       ;arcade_names_JP                                       ;arcade_names_US                                       
===================================================================================================================================================================================================
                              |                           |                          |                           |                          |                           |                          |
Alpha68k                      ;SNK Alpha 68000                                       ;Alpha68k:EU                                           ;Alpha68k:EU                                           
Astrocade                     ;Bally Astrocade                                       ;Astrocade:EU                                          ;Astrocade:EU                                          
Arkanoid                      ;Taito - Arkanoid                                      ;Arkanoid:EU                                           ;Arkanoid:EU                                           
armedf                        ;Nichibutsu - Formation Armed F                        ;armedf:EU                                             ;armedf:EU                                             
Asteroids                     ;Atari - Asteroids                                     ;Asteroids:EU                                          ;Asteroids:EU                                          
AsteroidsDeluxe               ;Atari - Asteroids Deluxe                              ;AsteroidsDeluxe:EU                                    ;AsteroidsDeluxe:EU                                    
AtariTetris                   ;Atari - Tetris                                        ;AtariTetris:EU                                        ;AtariTetris:EU                                        
atarisys1                     ;Atari System 1                                        ;atarisys1:EU                                          ;atarisys1:EU                                          
Athena                        ;SNK - Athena                                          ;Athena:EU                                             ;Athena:EU                                             
Bagman                        ;Valadon Aut. - Bagman                                 ;Bagman:EU                                             ;Bagman:EU                                             
                              |                           |                          |                           |                          |                           |                          |
bakraid                       ;Raizing - Battle Bakraid                              ;bakraid:EU                                            ;bakraid:EU                                            
bankpanic                     ;SEGA Bank Panic                                       ;bankpanic:EU                                          ;bankpanic:EU                                          
batrider                      ;Raizing - Armed Police Batrider                       ;batrider:EU                                           ;batrider:EU                                           
BattleZone                    ;Atari Battlezone                                      ;BattleZone:EU                                         ;BattleZone:EU                                         
Berzerk                       ;Stern Elect. - Berzerk                                ;Berzerk:EU                                            ;Berzerk:EU                                            
BlackWidow                    ;Atari - Black Widow                                   ;BlackWidow:EU                                         ;BlackWidow:EU                                         
blockade                      ;SEGA Blockade                                         ;blockade:EU                                           ;blockade:EU                                           
BombJack                      ;Tehkan - Bomb Jack                                    ;BombJack:EU                                           ;BombJack:EU                                           
bosconian                     ;Namco - Bosconian                                     ;bosconian:EU                                          ;Bosconian: Star Destroyer                             
Breakout                      ;Atari - Breakout                                      ;breakout:EU                                           ;Breakout:JP                                           
                              |                           |                          |                           |                          |                           |                          |
BurgerTime                    ;Data East - Burger Time                               ;Data East - Hamburger                                 ;BurgerTime:EU                                         
BurningRubber                 ;Data East - Burnin' Rubber                            ;BurningRubber:EU                                      ;Data East - Bump 'n' Jump                             
CanyonBomber                  ;Atari - Canyon Bomber                                 ;CanyonBomber:EU                                       ;CanyonBomber:EU                                       
Cave                          ;CAVE 68000                                            ;Cave:EU                                               ;Cave:EU                                               
Centipede                     ;Atari - Centipede                                     ;Centipede:EU                                          ;Centipede:EU                                          
Chameleon                     ;Jaleco - Chameleon                                    ;Chameleon:EU                                          ;Chameleon:EU                                          
ComputerSpace                 ;Syzygy Engr. Computer Space                           ;ComputerSpace:EU                                      ;ComputerSpace:EU                                      
CongoBongo                    ;SEGA Congo Bongo                                      ;SEGA Tip Top                                          ;CongoBongo:EU                                         
Cosmic                        ;Universal - Cosmic Alien                              ;Cosmic:EU                                             ;Cosmic:EU                                             
